loan_id,cust_id,loan_status,outstanding_amt
1,27253,Closed,31654
2,66722,Defaulted,30436
3,26569,Defaulted,4972
4,17423,Active,1609
5,32152,Defaulted,21634
6,47999,Defaulted,41386
7,88830,Closed,25772
8,28732,Closed,20617
9,19777,Defaulted,39368
10,99544,Closed,45503
11,76453,Closed,6304
12,51679,Defaulted,1117
13,40775,Active,34057
14,65634,Defaulted,8862
15,69406,Closed,46180
16,57453,Closed,46055
17,31168,Closed,46471
18,15534,Defaulted,39808
19,58127,Closed,27322
20,86775,Active,6697
21,6482,Active,45017
22,83849,Closed,31593
23,29771,Closed,16452
24,93360,Active,38105
25,23699,Active,48777
26,73946,Closed,13339
27,36340,Defaulted,46708
28,46558,Closed,26428
29,17680,Defaulted,37862
30,80419,Defaulted,38495
31,30420,Active,35818
32,57082,Defaulted,7125
33,7557,Active,21374
34,72524,Closed,9913
35,18316,Defaulted,4554
36,3390,Defaulted,32519
37,57059,Active,17496
38,19760,Active,17659
39,67537,Active,27330
40,6174,Closed,22866
41,153,Closed,28226
42,67390,Defaulted,6910
43,50253,Active,37566
44,45848,Active,8233
45,97174,Active,15547
46,45451,Defaulted,39437
47,63474,Closed,3294
48,1793,Defaulted,17434
49,27858,Defaulted,28144
50,98030,Active,4339
51,31496,Closed,17057
52,91704,Active,1258
53,44795,Defaulted,31398
54,5218,Closed,12904
55,18405,Active,35792
56,86092,Closed,10577
57,54544,Active,21252
58,14067,Closed,15001
59,21672,Defaulted,35339
60,62202,Defaulted,35342
61,16766,Active,33288
62,28177,Closed,20461
63,32620,Closed,11017
64,15854,Active,33528
65,66094,Active,37697
66,11002,Active,8095
67,44503,Closed,10328
68,77582,Closed,42125
69,21238,Active,21181
70,49030,Closed,18083
71,35790,Active,9399
72,66516,Active,26984
73,49778,Active,27533
74,63254,Active,7680
75,76921,Defaulted,40213
76,32638,Closed,48914
77,43770,Closed,42958
78,47609,Active,29635
79,3732,Defaulted,26724
80,41868,Active,38508
81,4416,Defaulted,1702
82,80485,Closed,43686
83,17813,Defaulted,37290
84,39748,Defaulted,38537
85,80484,Closed,36289
86,98443,Active,39571
87,29781,Closed,41845
88,50150,Closed,33632
89,90216,Active,12561
